ob_end_time,id_type,id,ob_hour_count,met_domain_-999me,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
02/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,220,13,220,24,1334,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 13:53,0
02/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,210,12,210,20,1355,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 14:52,0
02/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,220,10,220,20,1526,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 15:52,0
02/01/2014 17:00,WIND,163301,1,HCM,1,19260,1011,220,10,220,17,1635,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 16:52,0
02/01/2014 18:00,WIND,163301,1,HCM,1,19260,1011,220,7,230,15,1712,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 17:52,0
02/01/2014 19:00,WIND,163301,1,HCM,1,19260,1011,210,5,210,12,1845,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 18:52,0
02/01/2014 20:00,WIND,163301,1,HCM,1,19260,1011,200,5,220,13,1854,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 19:52,0
02/01/2014 21:00,WIND,163301,1,HCM,1,19260,1011,130,5,160,10,2029,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 20:53,0
02/01/2014 22:00,WIND,163301,1,HCM,1,19260,1011,130,4,160,11,2125,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 21:52,0
02/01/2014 23:00,WIND,163301,1,HCM,1,19260,1011,130,9,120,19,2241,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 22:52,0
03/01/2014 00:00,WIND,163301,1,HCM,1,19260,1011,130,9,130,18,2309,6,6,6,6,6,-999,-999,-999,-999,02/01/2014 23:52,0
03/01/2014 01:00,WIND,163301,1,HCM,1,19260,1011,120,11,110,21,23,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 00:52,0
03/01/2014 02:00,WIND,163301,1,HCM,1,19260,1011,140,7,130,19,56,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 01:52,0
03/01/2014 03:00,WIND,163301,1,HCM,1,19260,1011,180,11,200,36,216,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 02:52,0
03/01/2014 04:00,WIND,163301,1,HCM,1,19260,1011,210,17,190,31,258,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 03:52,0
03/01/2014 05:00,WIND,163301,1,HCM,1,19260,1011,210,15,210,32,423,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 04:52,0
03/01/2014 06:00,WIND,163301,1,HCM,1,19260,1011,200,12,190,29,518,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 05:52,0
03/01/2014 07:00,WIND,163301,1,HCM,1,19260,1011,200,13,210,44,559,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 06:52,0
03/01/2014 08:00,WIND,163301,1,HCM,1,19260,1011,180,15,200,32,650,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 07:52,0
03/01/2014 09:00,WIND,163301,1,HCM,1,19260,1011,170,13,160,31,826,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 08:53,0
03/01/2014 10:00,WIND,163301,1,HCM,1,19260,1011,190,16,200,36,934,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 09:52,0
03/01/2014 11:00,WIND,163301,1,HCM,1,19260,1011,200,20,200,40,1027,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 10:52,0
03/01/2014 12:00,WIND,163301,1,HCM,1,19260,1011,200,23,220,42,1052,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 11:52,0
03/01/2014 13:00,WIND,163301,1,HCM,1,19260,1011,200,22,210,45,1158,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 12:52,0
03/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,210,24,210,45,1326,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 13:52,0
03/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,210,24,210,45,1354,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 14:52,0
03/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,210,24,210,46,1458,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 15:54,0
03/01/2014 17:00,WIND,163301,1,HCM,1,19260,1011,220,23,210,37,1615,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 16:52,0
03/01/2014 18:00,WIND,163301,1,HCM,1,19260,1011,220,24,210,38,1651,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 17:52,0
03/01/2014 19:00,WIND,163301,1,HCM,1,19260,1011,220,20,220,36,1803,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 18:52,0
03/01/2014 20:00,WIND,163301,1,HCM,1,19260,1011,220,18,220,32,1919,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 19:52,0
03/01/2014 21:00,WIND,163301,1,HCM,1,19260,1011,220,17,210,30,1955,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 20:53,0
03/01/2014 22:00,WIND,163301,1,HCM,1,19260,1011,220,16,230,29,2121,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 21:52,0
03/01/2014 23:00,WIND,163301,1,HCM,1,19260,1011,220,17,230,27,2229,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 22:52,0
04/01/2014 00:00,WIND,163301,1,HCM,1,19260,1011,230,17,230,28,2336,6,6,6,6,6,-999,-999,-999,-999,03/01/2014 23:52,0
04/01/2014 01:00,WIND,163301,1,HCM,1,19260,1011,230,17,240,30,17,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 00:52,0
04/01/2014 02:00,WIND,163301,1,HCM,1,19260,1011,230,16,220,26,127,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 01:52,0
04/01/2014 03:00,WIND,163301,1,HCM,1,19260,1011,230,16,220,25,202,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 02:52,0
04/01/2014 04:00,WIND,163301,1,HCM,1,19260,1011,230,15,230,28,330,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 03:52,0
04/01/2014 05:00,WIND,163301,1,HCM,1,19260,1011,230,15,250,25,401,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 04:52,0
04/01/2014 06:00,WIND,163301,1,HCM,1,19260,1011,220,14,220,26,534,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 05:52,0
04/01/2014 07:00,WIND,163301,1,HCM,1,19260,1011,220,13,220,22,558,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 06:52,0
04/01/2014 08:00,WIND,163301,1,HCM,1,19260,1011,200,9,200,20,650,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 07:52,0
04/01/2014 09:00,WIND,163301,1,HCM,1,19260,1011,230,5,220,13,750,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 08:55,0
04/01/2014 10:00,WIND,163301,1,HCM,1,19260,1011,350,3,270,6,851,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 09:52,0
04/01/2014 11:00,WIND,163301,1,HCM,1,19260,1011,240,2,260,8,1024,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 10:52,0
04/01/2014 12:00,WIND,163301,1,HCM,1,19260,1011,110,3,110,9,1059,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 11:52,0
04/01/2014 13:00,WIND,163301,1,HCM,1,19260,1011,90,4,110,9,1231,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 12:52,0
04/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,90,5,100,10,1317,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 13:52,0
04/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,100,5,110,8,1439,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 14:52,0
04/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,50,3,110,7,1500,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 15:52,0
04/01/2014 17:00,WIND,163301,1,HCM,1,19260,1011,140,2,260,9,1634,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 16:52,0
04/01/2014 18:00,WIND,163301,1,HCM,1,19260,1011,200,3,220,6,1730,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 17:52,0
04/01/2014 19:00,WIND,163301,1,HCM,1,19260,1011,230,5,240,9,1844,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 18:55,0
04/01/2014 20:00,WIND,163301,1,HCM,1,19260,1011,230,7,230,12,1942,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 19:52,0
04/01/2014 21:00,WIND,163301,1,HCM,1,19260,1011,250,4,230,10,1952,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 20:53,0
04/01/2014 22:00,WIND,163301,1,HCM,1,19260,1011,250,5,230,8,2147,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 21:52,0
04/01/2014 23:00,WIND,163301,1,HCM,1,19260,1011,230,6,230,11,2233,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 22:52,0
05/01/2014 00:00,WIND,163301,1,HCM,1,19260,1011,230,8,220,12,2328,6,6,6,6,6,-999,-999,-999,-999,04/01/2014 23:52,0
05/01/2014 01:00,WIND,163301,1,HCM,1,19260,1011,240,8,250,13,46,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 00:52,0
05/01/2014 02:00,WIND,163301,1,HCM,1,19260,1011,240,8,240,13,53,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 01:52,0
